400,ca3c6afa-9038-454c-a79a-1,1111110434,Ohio Patrolmen's Benevolent Assoc.,B,OHPB,OHBP,8005187550,7397,50,262
401,ca3c6afa-9038-454c-a79a-1,1111110435,Ohio Patrolmen's Benevolent Assoc.,B,OHPB,OHBP,8005187550,7397,50,262
402,ca3c6afa-9038-454c-a79a-1,1111110474,Ohio Patrolmen's Benevolent Assoc.,B,OHPB,OHBP,8005187550,7397,50,262
403,ca3c6afa-9038-454c-a79a-1,1111110475,Ohio Patrolmen's Benevolent Assoc.,B,OHPB,OHBP,8005187550,7397,50,262
404,2c5cc3f2-e8f9-44fb-b490-3,1111110440,South Carolina Trooper Assoc.,B,SCTA,SCBT,8005210078,7363,50,263
405,2c5cc3f2-e8f9-44fb-b490-3,1111110441,South Carolina Trooper Assoc.,B,SCTA,SCBT,8005210078,7363,50,263
406,9ae2ad66-5627-4f51-aeb4-0,1111110443,Texas Coalition of Police & Sherrifs,B,COPS,TXBC,8007430105,7362,50,264
407,9ae2ad66-5627-4f51-aeb4-0,1111110444,Texas Coalition of Police & Sherrifs,B,COPS,TXBC,8007430105,7362,50,264
452,719160d5-75da-4ed1-84d0-4,1111110218,Command Officers Assoc. of Michigan,R,COAM,MIRC,8004977178,7389,100,285
453,719160d5-75da-4ed1-84d0-4,1111110219,Command Officers Assoc. of Michigan,R,COAM,MIRC,8004977178,7389,100,285
454,719160d5-75da-4ed1-84d0-4,1111110220,Command Officers Assoc. of Michigan,R,COAM,MIRC,8004977178,7389,100,285
455,719160d5-75da-4ed1-84d0-4,1111110221,Command Officers Assoc. of Michigan,R,COAM,MIRC,8004977178,7389,100,285
456,719160d5-75da-4ed1-84d0-4,1111110222,Command Officers Assoc. of Michigan,R,COAM,MIRC,8004977178,7389,100,285
457,fce163f6-3fae-4647-a3b6-9,1111110291,Virginia Police Fund,R,VPF,VARC,8045001961,7387,100,286
458,fce163f6-3fae-4647-a3b6-9,1111110292,Virginia Police Fund,R,VPF,VARC,8045001961,7387,100,286
459,fce163f6-3fae-4647-a3b6-9,1111110293,Virginia Police Fund,R,VPF,VARC,8045001961,7387,100,286
460,fce163f6-3fae-4647-a3b6-9,1111110294,Virginia Police Fund,R,VPF,VARC,8045001961,7387,100,286
461,fce163f6-3fae-4647-a3b6-9,1111110295,Virginia Police Fund,R,VPF,VARC,8045001961,7387,100,286
462,11f3d436-3111-49a5-89f4-1,1111110418,Florida Highway Patrol Cmd Officers Assoc.,B,FHPC,FLBH,8006539369,7364,50,290
463,11f3d436-3111-49a5-89f4-1,1111110419,Florida Highway Patrol Cmd Officers Assoc.,B,FHPC,FLBH,8006539369,7364,50,290
464,ad9f16ba-577f-4d64-815e-9,1111110420,Illinois Police Assoc.,B,IPA,ILBP,8006561369,7369,50,291
465,ad9f16ba-577f-4d64-815e-9,1111110421,Illinois Police Assoc.,B,IPA,ILBP,8006561369,7369,50,291
466,67226368-2c5d-4fd6-9cc6-a,1111110422,Kentucky FOP,B,KFOP,KYBP,8007467920,7367,50,292
467,67226368-2c5d-4fd6-9cc6-a,1111110423,Kentucky FOP,B,KFOP,KYBP,8007467920,7367,50,292
468,45343158-beed-4b45-ad01-e,1111110432,New York State Park Police PBA,B,NYSP,NYBS,8005202703,7390,50,293
469,45343158-beed-4b45-ad01-e,1111110433,New York State Park Police PBA,B,NYSP,NYBS,8005202703,7390,50,293
470,361a61a4-eefa-4fa7-9342-c,1111110436,Police Officers Assoc. of Michigan,B,POAM,MIBR,8004913503,7375,25,294
471,361a61a4-eefa-4fa7-9342-c,1111110437,Police Officers Assoc. of Michigan,B,POAM,MIBR,8004913503,7375,25,294
500,fd5b08e2-5624-4cbe-a3c0-7,1111110424,MI State Fraternal Order of Police FOP,B,MFOP,MIBF,8009055395,7383,50,319
501,fd5b08e2-5624-4cbe-a3c0-7,1111110425,MI State Fraternal Order of Police FOP,B,MFOP,MIBF,8009055395,7383,50,319
502,6232ecd3-d899-4b24-b593-9,1111110447,Texas Coalition of Police & Sherrifs,B,COPS,TXBC,8007430105,7362,50,320
503,6232ecd3-d899-4b24-b593-9,1111110448,Texas Coalition of Police & Sherrifs,B,COPS,TXBC,8007430105,7362,50,320
504,da4d1438-5c36-4d11-9180-0,1111110449,Virginia Police Fund,B,VPF,VABC,8045001961,7387,50,321
505,da4d1438-5c36-4d11-9180-0,1111110450,Virginia Police Fund,B,VPF,VABC,8045001961,7387,50,321
506,bf8a0b8a-6cb6-4936-89ac-d,1111110461,MPI All-Default,B,ALLDFLT,NA,8006803192,7351,50,322
507,bf8a0b8a-6cb6-4936-89ac-d,1111110462,MPI All-Default,B,ALLDFLT,NA,8006803192,7351,50,322
508,bf8a0b8a-6cb6-4936-89ac-d,1111110463,MPI All-Default,B,ALLDFLT,NA,8006803192,7351,50,322
509,bf8a0b8a-6cb6-4936-89ac-d,1111110464,MPI All-Default,B,ALLDFLT,NA,8006803192,7351,50,322
510,bf8a0b8a-6cb6-4936-89ac-d,1111110465,MPI All-Default,B,ALLDFLT,NA,8006803192,7351,50,322
511,bf8a0b8a-6cb6-4936-89ac-d,1111110466,MPI All-Default,B,ALLDFLT,NA,8006803192,7351,50,322
512,bf8a0b8a-6cb6-4936-89ac-d,1111110467,MPI All-Default,B,ALLDFLT,NA,8006803192,7351,50,322
513,bf8a0b8a-6cb6-4936-89ac-d,1111110468,MPI All-Default,B,ALLDFLT,NA,8006803192,7351,50,322
545,cc758822-fb60-466b-aa81-8,1111110100,MPI All-Default,R,ALLDFLT,NA,8006803192,7351,50,330
546,cc758822-fb60-466b-aa81-8,1111110101,MPI All-Default,R,ALLDFLT,NA,8006803192,7351,50,330
547,cc758822-fb60-466b-aa81-8,1111110102,MPI All-Default,R,ALLDFLT,NA,8006803192,7351,50,330
548,cc758822-fb60-466b-aa81-8,1111110103,MPI All-Default,R,ALLDFLT,NA,8006803192,7351,50,330
549,cc758822-fb60-466b-aa81-8,1111110110,MPI All-Default,R,ALLDFLT,NA,8006803192,7351,50,330
550,cc758822-fb60-466b-aa81-8,1111110111,MPI All-Default,R,ALLDFLT,NA,8006803192,7351,50,330
551,cc758822-fb60-466b-aa81-8,1111110112,MPI All-Default,R,ALLDFLT,NA,8006803192,7351,50,330
552,cc758822-fb60-466b-aa81-8,1111110113,MPI All-Default,R,ALLDFLT,NA,8006803192,7351,50,330
553,cc758822-fb60-466b-aa81-8,1111110114,MPI All-Default,R,ALLDFLT,NA,8006803192,7351,50,330
554,cc758822-fb60-466b-aa81-8,1111110115,MPI All-Default,R,ALLDFLT,NA,8006803192,7351,50,330
555,cc758822-fb60-466b-aa81-8,1111110116,MPI All-Default,R,ALLDFLT,NA,8006803192,7351,50,330
556,cc758822-fb60-466b-aa81-8,1111110117,MPI All-Default,R,ALLDFLT,NA,8006803192,7351,50,330
557,11c5ba11-9c4e-4530-a482-1,1111110104,MPI OB-Default,R,OBDFLT,NA,8004724218,7350,50,331
558,11c5ba11-9c4e-4530-a482-1,1111110105,MPI OB-Default,R,OBDFLT,NA,8004724218,7350,50,331
559,11c5ba11-9c4e-4530-a482-1,1111110106,MPI OB-Default,R,OBDFLT,NA,8004724218,7350,50,331
560,11c5ba11-9c4e-4530-a482-1,1111110107,MPI OB-Default,R,OBDFLT,NA,8004724218,7350,50,331
561,11c5ba11-9c4e-4530-a482-1,1111110108,MPI OB-Default,R,OBDFLT,NA,8004724218,7350,50,331
562,11c5ba11-9c4e-4530-a482-1,1111110120,MPI OB-Default,R,OBDFLT,NA,8004724218,7350,50,331
563,11c5ba11-9c4e-4530-a482-1,1111110121,MPI OB-Default,R,OBDFLT,NA,8004724218,7350,50,331
564,11c5ba11-9c4e-4530-a482-1,1111110122,MPI OB-Default,R,OBDFLT,NA,8004724218,7350,50,331
565,11c5ba11-9c4e-4530-a482-1,1111110123,MPI OB-Default,R,OBDFLT,NA,8004724218,7350,50,331
566,11c5ba11-9c4e-4530-a482-1,1111110124,MPI OB-Default,R,OBDFLT,NA,8004724218,7350,50,331
567,bcbc7d1c-caa7-475c-8b07-e,1111110160,The United Police Fund,R,UPF,PCRU,8002151579,7381,100,332
568,bcbc7d1c-caa7-475c-8b07-e,1111110161,The United Police Fund,R,UPF,PCRU,8002151579,7381,100,332
569,bcbc7d1c-caa7-475c-8b07-e,1111110162,The United Police Fund,R,UPF,PCRU,8002151579,7381,100,332
570,bcbc7d1c-caa7-475c-8b07-e,1111110163,The United Police Fund,R,UPF,PCRU,8002151579,7381,100,332
